['b'],"['b', 'c']","['a', 'b']",[],"['a', 'b', 'c']",[],5,5,3,4,4,8,5,4,40,3,60,6,6,5,7,9,21888,72567,32595,29989,17284,13936,26339,29193,13630,7502
['a'],"['b', 'c']","['b', 'd', 'c']",[],"['a', 'b', 'c']",[],1,1,1,5,9,1,4,9,80,4,80,6,5,3,6,5,7472,29760,24021,9670,12161,12164,9005,10193,8341,7971
['b'],"['a', 'b']","['b', 'c']",[],"['d', 'a', 'd']",[],5,5,4,5,5,5,6,4,50,6,40,6,6,7,5,5,10521,27102,30413,23345,31231,28458,15242,10198,7709,6291
['b'],"['a', 'c']","['b', 'c']",[],"['a', 'b', 'c']",[],4,6,5,4,8,2,5,6,80,4,60,4,4,5,5,4,23883,90707,75055,32392,16258,9585,16082,16825,10165,7042
['a'],"['a', 'd']","['b', 'c']",[],"['d', 'a', 'b', 'c', 'd']",[],7,6,3,7,8,4,3,5,70,6,50,7,6,4,9,7,9679,29526,27403,25901,16761,16743,12774,17368,14468,8897
['b'],"['b', 'd']","['b', 'd', 'a']",[],"['a', 'b', 'c']",[],2,1,2,4,9,4,4,2,50,4,30,5,6,8,7,4,11215,47920,39390,17671,23284,15950,13378,12382,11121,10382
['b'],"['a', 'b']","['b', 'd', 'a']",[],"['d', 'b', 'c', 'd']",[],6,3,4,6,7,3,8,7,60,7,50,7,8,4,6,5,13422,41070,23259,64468,25079,21760,47556,12344,12622,7724
['b'],"['b', 'd']","['a', 'b', 'd', 'a', 'b']",[],"['d', 'a', 'c']",[],7,7,8,7,9,1,9,8,80,7,80,8,8,9,9,7,8127,38862,26345,25927,20237,40935,12765,13951,15962,10340
['a'],"['b', 'c']","['b', 'c']",[],['a'],[],7,4,4,5,6,5,4,,40,6,30,6,5,8,8,1,7224,40634,24549,15030,13036,1847,12266,11783,4998,5607
['b'],['b'],"['c', 'd', 'b', 'c']",[],"['a', 'b', 'c']",[],3,1,1,3,5,1,5,5,70,2,60,5,2,1,3,1,11257,33492,28580,12201,15618,7050,13113,11113,7474,6825
['a'],"['a', 'b', 'c']","['b', 'c']",[],"['a', 'b', 'c']",[],7,7,5,9,9,3,7,7,60,8,50,8,8,8,8,9,5336,86290,21821,14944,26364,8536,9889,7321,6649,5833
['a'],"['b', 'c']","['a', 'b']",[],"['a', 'b', 'c']",[],9,7,8,7,9,1,8,8,80,8,90,9,5,5,9,9,4319,44527,36928,20745,12319,8785,42624,5473,6871,4023
['b'],['b'],"['b', 'b', 'd']",[],"['b', 'd']",[],3,3,4,6,8,3,3,5,70,5,20,9,5,4,7,7,11623,20231,30713,48871,14024,27192,13040,26849,8952,7272
['a'],"['a', 'b']","['b', 'a']",[],"['b', 'c', 'd']",[],8,7,1,6,2,7,2,7,60,7,50,6,9,5,6,8,6799,23881,20160,28048,36706,20263,12519,9775,6928,9441
