['a'],[],[],[],[],[],,,,,,,,,,,,1,1,1,1,1,3744,2024,2576,1193,182914,2336,10071,577,159,145
['a'],"['a', 'b']","['b', 'a']",[],"['d', 'b', 'c', 'd']",[],6,6,6,7,7,2,4,5,60,7,60,7,2,5,5,5,9062,32624,34912,19767,15768,23866,34456,47928,43518,5593
['a'],"['b', 'd']","['b', 'c']",[],"['d', 'a', 'b', 'c', 'd']",[],7,5,7,4,7,2,8,4,80,6,70,7,7,3,5,2,4741,26167,26672,26033,13291,14987,14126,23447,8423,7021
['b'],"['c', 'd']","['b', 'c']",[],"['a', 'd']",[],4,2,4,4,2,3,4,4,70,2,50,6,6,4,5,3,9222,40760,25997,20605,18050,29837,15065,12387,14002,10633
['a'],"['a', 'b']","['b', 'd', 'b']",[],"['d', 'b', 'c', 'd']",[],8,8,8,7,8,3,7,8,70,8,50,8,6,7,9,9,4444,30098,43851,53800,14156,16341,9604,11113,7034,5947
['a'],"['a', 'b']","['b', 'd', 'a']",[],"['d', 'b', 'c', 'd']",[],6,8,5,7,8,5,8,6,60,8,70,8,7,2,5,6,5526,28689,25286,40634,28517,21591,11795,16130,13240,8333
['b'],"['a', 'b']","['a', 'a']",[],"['d', 'b', 'c', 'd']",[],6,4,4,6,5,2,5,5,60,6,50,7,4,5,6,6,12185,25446,31924,32540,14639,11158,13455,10562,9962,13124
['a'],['b'],"['b', 'a']",[],"['b', 'a', 'c', 'd']",[],7,6,5,7,8,3,7,4,50,6,60,8,4,5,6,8,5192,27084,29027,20611,16258,31172,13666,17642,6297,5528
['b'],"['a', 'b']","['b', 'b']",[],"['b', 'c', 'd']",[],4,3,2,3,7,3,6,6,60,4,30,6,2,6,4,4,10368,22995,38836,29837,22074,16314,9091,26635,10720,7121
['a'],"['a', 'b', 'c']","['b', 'b']",[],"['b', 'a', 'c', 'd']",[],7,6,6,7,8,5,5,7,70,7,60,7,3,4,6,7,5209,29420,18786,19203,17154,17426,10298,9657,8224,7602
['a'],['d'],"['b', 'b']",[],"['d', 'b', 'c', 'd']",[],4,1,2,7,5,2,6,7,80,1,50,1,7,6,9,9,3616,11816,14923,8617,9735,9893,6603,5951,4564,4019
['b'],"['a', 'b', 'c']","['a', 'b']",[],"['a', 'b', 'c']",[],7,4,6,7,9,4,5,5,60,7,50,7,9,9,6,7,6551,28672,34248,5568,25192,25958,13857,16391,12345,7023
['a'],"['a', 'b']","['b', 'b']",[],"['b', 'c', 'd']",[],8,6,7,6,7,2,6,9,40,6,60,7,6,6,8,7,5900,32459,28267,21184,14773,17394,11404,12258,8162,6450
['b'],['b'],"['b', 'a']",[],"['b', 'a', 'c', 'd']",[],7,5,4,5,6,5,7,9,60,6,50,7,3,7,6,8,8874,34163,50027,16198,26477,14678,13954,16997,10096,7912
[],[],[],[],[],[],,,,,,,,,,,,1,1,1,1,1,1679,2177,1976,520,1295,1112,9264,8391,10929,9760
